abstract_name,complete_phrase,discipline,field,filename,frame,frame_elements,journal,lexical_unit,lexical_unit_end,lexical_unit_start,sentence_count
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Each individual 's journey from layperson to skilled professional is unique and is affected by `` who they are '' at the beginning and `` who they wish to become . '',BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People,"{ ""frameElement"": ""Person"", ""starts"": 1, ""ends"": 2, ""word"": ""individual"" }",ACADEMIC MEDICINE,individual,2,1,5
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Each individual 's journey from layperson to skilled professional is unique and is affected by `` who they are '' at the beginning and `` who they wish to become . '',BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Travel,"{ ""frameElement"": ""Time"", ""starts"": 4, ""ends"": 6, ""word"": ""from layperson"" }, { ""frameElement"": ""Traveler"", ""starts"": 0, ""ends"": 3, ""word"": ""Each individual 's"" }",ACADEMIC MEDICINE,journey,4,3,5
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Each individual 's journey from layperson to skilled professional is unique and is affected by `` who they are '' at the beginning and `` who they wish to become . '',BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Expertise,"{ ""frameElement"": ""Protagonist"", ""starts"": 8, ""ends"": 9, ""word"": ""professional"" }",ACADEMIC MEDICINE,skilled,8,7,5
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Each individual 's journey from layperson to skilled professional is unique and is affected by `` who they are '' at the beginning and `` who they wish to become . '',BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Idiosyncrasy,"{ ""frameElement"": ""Idiosyncrasy"", ""starts"": 10, ""ends"": 11, ""word"": ""unique"" }, { ""frameElement"": ""Entity"", ""starts"": 3, ""ends"": 9, ""word"": ""journey from layperson to skilled professional"" }",ACADEMIC MEDICINE,unique,11,10,5
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Each individual 's journey from layperson to skilled professional is unique and is affected by `` who they are '' at the beginning and `` who they wish to become . '',BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Feigning,"{ ""frameElement"": ""State_of_affairs"", ""starts"": 14, ""ends"": 30, ""word"": ""by `` who they are '' at the beginning and `` who they wish to become"" }",ACADEMIC MEDICINE,affected,14,13,5
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Each individual 's journey from layperson to skilled professional is unique and is affected by `` who they are '' at the beginning and `` who they wish to become . '',BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Temporal_subregion,"{ ""frameElement"": ""Sub_part"", ""starts"": 22, ""ends"": 23, ""word"": ""beginning"" }",ACADEMIC MEDICINE,beginning,23,22,5
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Each individual 's journey from layperson to skilled professional is unique and is affected by `` who they are '' at the beginning and `` who they wish to become . '',BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Desiring,"{ ""frameElement"": ""Experiencer"", ""starts"": 26, ""ends"": 27, ""word"": ""they"" }",ACADEMIC MEDICINE,wish,28,27,5
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Each individual 's journey from layperson to skilled professional is unique and is affected by `` who they are '' at the beginning and `` who they wish to become . '',BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Becoming,"{ ""frameElement"": ""Entity"", ""starts"": 26, ""ends"": 27, ""word"": ""they"" }",ACADEMIC MEDICINE,become,30,29,5
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Identity formation is a dynamic process achieved through socialization ; it results in individuals joining the medical community of practice .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 0, ""ends"": 1, ""word"": ""Identity"" }",ACADEMIC MEDICINE,Identity,1,0,6
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Identity formation is a dynamic process achieved through socialization ; it results in individuals joining the medical community of practice .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 0, ""ends"": 1, ""word"": ""Identity"" }",ACADEMIC MEDICINE,formation,2,1,6
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Identity formation is a dynamic process achieved through socialization ; it results in individuals joining the medical community of practice .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Means,"{ ""frameElement"": ""Means"", ""starts"": 6, ""ends"": 9, ""word"": ""achieved through socialization"" }",ACADEMIC MEDICINE,process,6,5,6
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Identity formation is a dynamic process achieved through socialization ; it results in individuals joining the medical community of practice .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Accomplishment,"{ ""frameElement"": ""Goal"", ""starts"": 7, ""ends"": 9, ""word"": ""through socialization"" }",ACADEMIC MEDICINE,achieved,7,6,6
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Identity formation is a dynamic process achieved through socialization ; it results in individuals joining the medical community of practice .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Causation,"{ ""frameElement"": ""Cause"", ""starts"": 10, ""ends"": 11, ""word"": ""it"" }, { ""frameElement"": ""Effect"", ""starts"": 12, ""ends"": 20, ""word"": ""in individuals joining the medical community of practice"" }",ACADEMIC MEDICINE,results,12,11,6
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Identity formation is a dynamic process achieved through socialization ; it results in individuals joining the medical community of practice .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People,"{ ""frameElement"": ""Person"", ""starts"": 13, ""ends"": 14, ""word"": ""individuals"" }",ACADEMIC MEDICINE,individuals,14,13,6
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Identity formation is a dynamic process achieved through socialization ; it results in individuals joining the medical community of practice .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Becoming_a_member,"{ ""frameElement"": ""Group"", ""starts"": 15, ""ends"": 20, ""word"": ""the medical community of practice"" }",ACADEMIC MEDICINE,joining,15,14,6
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Identity formation is a dynamic process achieved through socialization ; it results in individuals joining the medical community of practice .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Aggregate,"{ ""frameElement"": ""Aggregate"", ""starts"": 17, ""ends"": 18, ""word"": ""community"" }, { ""frameElement"": ""AggregateProperty"", ""starts"": 16, ""ends"": 17, ""word"": ""medical"" }, { ""frameElement"": ""Individuals"", ""starts"": 18, ""ends"": 20, ""word"": ""of practice"" }",ACADEMIC MEDICINE,community,18,17,6
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Identity formation is a dynamic process achieved through socialization ; it results in individuals joining the medical community of practice .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Practice,,ACADEMIC MEDICINE,practice,20,19,6
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Quantity,"{ ""frameElement"": ""Quantity"", ""starts"": 0, ""ends"": 1, ""word"": ""Multiple"" }, { ""frameElement"": ""Individuals"", ""starts"": 1, ""ends"": 2, ""word"": ""factors"" }",ACADEMIC MEDICINE,Multiple,1,0,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Contingency,"{ ""frameElement"": ""Determinant"", ""starts"": 1, ""ends"": 2, ""word"": ""factors"" }",ACADEMIC MEDICINE,factors,2,1,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Part_inner_outer,"{ ""frameElement"": ""Part"", ""starts"": 4, ""ends"": 5, ""word"": ""outside"" }, { ""frameElement"": ""Whole"", ""starts"": 5, ""ends"": 9, ""word"": ""of the educational system"" }",ACADEMIC MEDICINE,outside,5,4,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Education_teaching,,ACADEMIC MEDICINE,educational,8,7,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Gizmo,,ACADEMIC MEDICINE,system,9,8,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Objective_influence,"{ ""frameElement"": ""Influencing_situation"", ""starts"": 0, ""ends"": 9, ""word"": ""Multiple factors within and outside of the educational system"" }",ACADEMIC MEDICINE,affect,10,9,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Creating,"{ ""frameElement"": ""Created_entity"", ""starts"": 12, ""ends"": 18, ""word"": ""of an individual 's professional identity"" }",ACADEMIC MEDICINE,formation,12,11,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People,"{ ""frameElement"": ""Person"", ""starts"": 14, ""ends"": 15, ""word"": ""individual"" }",ACADEMIC MEDICINE,individual,15,14,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People_by_vocation,"{ ""frameElement"": ""Person"", ""starts"": 16, ""ends"": 17, ""word"": ""professional"" }",ACADEMIC MEDICINE,professional,17,16,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,Multiple factors within and outside of the educational system affect the formation of an individual 's professional identity .,BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 16, ""ends"": 17, ""word"": ""professional"" }",ACADEMIC MEDICINE,identity,18,17,7
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Similarity,"{ ""frameElement"": ""Entities"", ""starts"": 5, ""ends"": 6, ""word"": ""factors"" }",ACADEMIC MEDICINE,different,5,4,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Contingency,"{ ""frameElement"": ""Determinant"", ""starts"": 4, ""ends"": 5, ""word"": ""different"" }",ACADEMIC MEDICINE,factors,6,5,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Possession,"{ ""frameElement"": ""Possession"", ""starts"": 11, ""ends"": 12, ""word"": ""fashion"" }, { ""frameElement"": ""Owner"", ""starts"": 9, ""ends"": 10, ""word"": ""his"" }",ACADEMIC MEDICINE,own,11,10,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Building,"{ ""frameElement"": ""Created_entity"", ""starts"": 9, ""ends"": 10, ""word"": ""his"" }",ACADEMIC MEDICINE,fashion,12,11,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Proliferating_in_number,"{ ""frameElement"": ""Set"", ""starts"": 20, ""ends"": 24, ""word"": ""of a professional identity"" }",ACADEMIC MEDICINE,emergence,20,19,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,People_by_vocation,"{ ""frameElement"": ""Person"", ""starts"": 22, ""ends"": 23, ""word"": ""professional"" }",ACADEMIC MEDICINE,professional,23,22,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"Each learner reacts to different factors in her or his own fashion , with the anticipated outcome being the emergence of a professional identity .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Identicality,"{ ""frameElement"": ""Type"", ""starts"": 23, ""ends"": 24, ""word"": ""identity"" }",ACADEMIC MEDICINE,identity,24,23,8
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Concessive,,ACADEMIC MEDICINE,However,1,0,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Cognitive_connection,"{ ""frameElement"": ""Concept_1"", ""starts"": 8, ""ends"": 9, ""word"": ""processes"" }",ACADEMIC MEDICINE,related,8,7,9
A Schematic Representation of the Professional Identity Formation and Socialization of Medical Students and Residents: A Guide for Medical Educators,"However , the inherent logic in the related processes of professional identity formation and socialization may be obscured by their complexity and the large number of factors involved .",BIOLOGICAL SCIENCES,HEALTH CARE SCIENCES & SERVICES,2015-jun_JA_10-1097_ACM-0000000000000700_academic-medicine_cruess_richard2,Processing_materials,"{ ""frameElement"": ""Material"", ""starts"": 9, ""ends"": 15, ""word"": ""of professional identity formation and socialization"" }",ACADEMIC MEDICINE,processes,9,8,9
